replication_id,scenario_id,replication_seed,metric,N_value,S_value,F_value,S_minus_N,F_minus_S,F_minus_N
22,cda0457b3f19dc5f,16800882232702200752,retail_order_bullwhip,2.9852595808217806,3.17101923035685,2.859884650484991,0.1857596495350693,-0.311134579871859,-0.1253749303367897
23,99fe83fe7a61efee,5072631503236424711,retail_order_bullwhip,3.252964053518468,3.556984645785135,2.9274775245222915,0.3040205922666672,-0.6295071212628436,-0.32548652899617636
24,4734a950ab8deb19,1658852715428394783,retail_order_bullwhip,3.043894252461487,3.172461372721181,2.8716705085443093,0.12856712025969363,-0.3007908641768715,-0.17222374391717787
25,38bb46dac36d9613,6198866614064143415,retail_order_bullwhip,3.2364835754242116,3.382782294986249,2.9529357726525003,0.14629871956203733,-0.42984652233374865,-0.2835478027717113
26,73ca68e153b90efe,9131912532472506910,retail_order_bullwhip,3.114758114958395,3.2881127018956158,2.997965332963061,0.17335458693722083,-0.2901473689325549,-0.11679278199533405
27,486b37266eb85a7d,14506317473859213626,retail_order_bullwhip,3.0219690562316535,2.9676043658483082,2.668212347286929,-0.05436469038334524,-0.2993920185613792,-0.35375670894472444
28,9819f468eaf7f2b2,4003950915694505269,retail_order_bullwhip,3.148632523522677,3.213254390081473,2.8279455177871613,0.06462186655879609,-0.38530887229431166,-0.32068700573551556
29,8d1cdabbefbbd0aa,17863264377380044289,retail_order_bullwhip,3.402675637853006,3.4896694377142117,2.9228938945822414,0.08699379986120581,-0.5667755431319703,-0.4797817432707645
30,a82cff0022fc77c1,1621636798392364146,retail_order_bullwhip,3.417749772246187,3.7583665058857867,3.151413102059804,0.34061673363959954,-0.6069534038259827,-0.2663366701863832
31,5e05e6ad80459dbd,17689598413599291612,retail_order_bullwhip,3.3932473541613746,3.422817022297814,2.976645006403477,0.029569668136439464,-0.4461720158943372,-0.41660234775789773
32,000375070cfaad12,2376777246512708618,retail_order_bullwhip,3.217809424950547,3.458107657454806,3.06465041252977,0.24029823250425908,-0.393457244925036,-0.1531590124207769
33,4f91a9779584603d,14951634514475873699,retail_order_bullwhip,3.549508739201094,3.632314809579413,3.223133671012129,0.08280607037831889,-0.40918113856728366,-0.3263750681889648
34,2672cb6c777c2643,3610653751272029061,retail_order_bullwhip,3.089201492289949,3.1144908596963004,2.9555047396395384,0.02528936740635146,-0.15898612005676194,-0.13369675265041048
35,24f7d9bb2ef8b38d,12487850631638145646,retail_order_bullwhip,3.3000903320497117,3.3763791036314754,3.0403904464995875,0.07628877158176373,-0.33598865713188797,-0.25969988555012424
36,a22de8b4de8c8f1c,9532327372103029650,retail_order_bullwhip,3.3512171459792666,3.6767728783170632,3.102266786229388,0.32555573233779667,-0.5745060920876752,-0.24895035974987856
37,6c4abba0cf79b5c5,6187122514881054771,retail_order_bullwhip,3.4800532439548935,3.669334745890363,2.989068606175709,0.18928150193546944,-0.6802661397146541,-0.49098463777918466
38,767bb6c753841eeb,8367747889328127822,retail_order_bullwhip,3.3634217849885597,3.6394615614548855,3.2080483827013397,0.2760397764663258,-0.4314131787535458,-0.15537340228721996
39,9496564120f8cca4,15556817399082204522,retail_order_bullwhip,3.114242222805973,3.252611438060639,2.82212086995579,0.1383692152546656,-0.43049056810484876,-0.29212135285018315
40,47355d2f5acddb5c,294372319131704418,retail_order_bullwhip,3.2205981693468724,3.31402652096504,2.889342127750416,0.09342835161816776,-0.42468439321462403,-0.3312560415964563
41,0a262dd283dd6a86,17876885766379431511,retail_order_bullwhip,3.3458722632556364,3.526140496186216,2.99595719132709,0.18026823293057959,-0.530183304859126,-0.34991507192854643
42,4948a5aebd04a486,13785562148271653969,retail_order_bullwhip,3.149720514371364,3.1819984397668906,2.8232586011707537,0.03227792539552654,-0.3587398385961369,-0.32646191320061035
43,0d83242ca36457c7,4582545520891971192,retail_order_bullwhip,3.0460025488990157,3.182766865504833,2.7994790506831517,0.13676431660581745,-0.3832878148216814,-0.24652349821586395
44,a4fc26c8e01425fb,9850046477131511879,retail_order_bullwhip,3.365097238746068,3.4521134893423056,2.8946178185201257,0.08701625059623774,-0.5574956708221799,-0.47047942022594214
45,6e8d15f0b614b0c5,16007094931600741254,retail_order_bullwhip,3.127494584755725,3.1107445716446853,2.940699657137859,-0.016750013111039852,-0.17004491450682613,-0.18679492761786598
46,ea37cea8525453e6,16040166067369569384,retail_order_bullwhip,3.190741980907889,3.4871857951758862,2.9882092037367354,0.29644381426799704,-0.49897659143915085,-0.2025327771711538
47,8eb8f53b49b3d3e7,16542339274826354254,retail_order_bullwhip,3.050608823674882,3.2092046513495722,2.972765730453758,0.15859582767469016,-0.23643892089581442,-0.07784309322112426
48,cf3fb765a545fb7c,6737943943382100808,retail_order_bullwhip,3.1624747359430536,3.3705490422197952,2.9843872200864463,0.20807430627674162,-0.38616182213334893,-0.17808751585660731
49,385531f86e4df34d,15744598175717554616,retail_order_bullwhip,3.5197988594340988,3.750124912405171,3.1512171366807933,0.23032605297107223,-0.5989077757243777,-0.3685817227533055
0,efd2bbd58a32d830,18154560826472160181,importer_procurement_bullwhip,15.228276096581064,14.9770166773537,12.178865050769,-0.25125941922736494,-2.7981516265846995,-3.0494110458120645
1,740d1ec64c17c25c,583025130916150325,importer_procurement_bullwhip,17.07976288160513,16.620158062795927,13.502288689307262,-0.4596048188092041,-3.1178693734886647,-3.577474192297869
